Case ID,Dice,HD95
0,0.7518150413469888,52.637120969010546
115,0.7622610754273961,54.58032690548439
19,0.7212881186126816,47.99029420023472
22,0.9336987456519448,3.906248092651367
23,0.554158883594002,47.85824449154709
27,0.9406849234738756,2.752411603781493
28,0.8155947589521313,30.430248109405877
2,0.7634386712809398,50.74291955599535
37,0.8712501551568868,17.46424919657298
38,0.8503211685497851,53.99073994677235
39,0.8639438407358367,10.0
46,0.8581713275808296,8.246211251235321
5,0.7043257967423503,61.794915463321246
61,0.6481095036119462,46.797778424163475
67,0.7848382444532329,45.01585366659725
73,0.6198305483783486,71.30072069909383
76,0.7927549726912784,52.24067622503236
78,0.5430878513236346,77.30461424987305
79,0.6395554763178225,61.74440052191789
80,0.7782606263846096,47.388419608467814
88,0.6841488367051044,56.996420602073776
8,0.7936587488954248,53.17080834608421
95,0.8268387134168209,41.87957471209724
97,0.686000466309163,45.6405862006194
